dailysamples,dailyconfirmed,dailyrecovered,dailydeceased,totalcritical,ventilatorpatients,totalsamples,totalconfirmed,totalhospital,totalrecovered,totaldeceased,totalhousesurvey,populationcovered,housescovered,flu,active_hosp,active_home,Date
4140,302,324,1,250,160,921335,179071,3294,171145,4632,,,,,452,2842,1.1.2021
3844,237,477,8,257,165,925179,179308,3046,171622,4640,,,,,489,2557,2.1.2021
4082,290,420,7,250,155,929261,179598,2909,172042,4647,,,,,536,2372,3.1.2021
2901,135,202,5,202,,932162,179733,2837,172244,4652,,,,,661,2176,4.1.2021
3398,233,343,2,222,,935560,179966,2725,172587,4654,,,,,746,1979,5.1.2021
5414,321,353,6,230,,940974,180287,2687,172940,4660,,,,,942,1745,6.1.2021
5043,202,393,3,202,,946017,180674,2678,173333,4663,,,,,917,1761,7.1.2021
4555,291,249,5,196,,950572,180965,2715,173582,4668,,,,,930,1785,8.1.2021
4480,282,347,4,210,,955052,181247,2646,173929,4672,,,,,909,1737,9.1.2021
3954,264,214,7,208,,959006,181511,2689,174143,4679,,,,,921,1768,10.1.2021
2543,140,144,3,213,,961549,181651,2682,174287,4853,,,,,1036,1646,11.1.2021
2660,224,241,4,216,,964209,181875,2661,174528,4686,,,,,857,1804,12.1.2021
3907,314,246,4,212,,968116,182189,2725,174774,4690,,,,,1032,1693,13.1.2021
3591,259,380,3,208,,971707,182448,2601,175154,4693,,,,,1064,1537,14.1.2021
3161,261,240,3,206,,974868,182709,2619,175394,4696,,,,,1036,1550,15.1.2021
3049,192,234,4,201,,977917,182901,2573,175628,4700,,,,,1009,1564,16.1.2021
3205,273,345,3,206,,981122,183174,2498,175973,4703,,,,,2498,1508,17.1.2021
2042,121,151,6,206,,983164,183295,2462,176124,4709,,,,,1009,1453,18.1.2021
2340,182,335,5,203,,985504,183477,2304,176459,4714,,,,,1009,1295,19.1.2021
3852,310,353,6,206,,989356,183787,2255,176812,4720,,,,,1009,1246,20.1.2021
3487,227,304,5,205,,992843,184014,2173,177116,4725,,,,,1009,1246,21.1.2021
3428,232,290,4,206,,996271,184246,2111,177406,4729,,,,,897,1214,22.1.2021
3742,228,258,6,204,,1000013,184474,2075,177664,4735,,,,,914,1161,23.1.2021
3836,208,229,3,206,,1003849,184632,2051,177893,4738,,,,,978,1073,24.1.2021
2385,98,123,1,205,,1006234,184780,2025,178016,4739,,,,,1009,1016,25.1.2021
2402,225,258,3,206,,1008636,185005,1989,178274,4742,,,,,1009,980,26.1.2021
3071,128,168,2,202,,1011707,185133,1947,178442,4744,,,,,1009,938,27.1.2021
3634,224,149,4,206,,1015341,185357,2018,178591,4748,,,,,1051,967,28.1.2021
4395,201,204,5,204,,1019736,185558,2010,178795,4753,,,,,1019,991,29.1.2021
4152,172,181,6,202,,1023888,185730,1995,178976,4759,,,,,903,1092,30.1.2021
4115,192,238,5,201,,1028003,185922,1944,179214,4764,,,,,1004,940,31.1.2021
2431,102,236,2,156,,1030434,186024,1808,179450,4766,,,,,878,930,1.2.2021
2692,176,247,2,155,,1033126,192181,1735,185678,4768,,,,,881,835,2.2.2021
4053,198,306,1,109,,1037179,192379,1626,185984,4769,,,,,885,741,3.2.2021
3886,228,328,3,109,,1041065,192607,1523,186312,4772,,,,,831,692,4.2.2021
3357,195,224,2,110,,1044422,192802,1492,186536,4774,,,,,840,652,5.2.2021
3239,180,265,0,112,,1047661,192982,1407,186801,4774,,,,,794,613,6.2.2021
2906,196,219,1,110,,1050567,193178,1383,187020,4775,,,,,815,568,7.2.2021
1945,162,145,4,113,,1052512,193340,1396,187165,4779,,,,,805,591,8.2.2021
2232,216,197,4,120,,1054744,193556,1411,187362,4783,,,,,773,638,9.2.2021
3344,239,170,5,131,,1058088,193795,1475,187532,4788,,,,,735,740,10.2.2021
3230,256,113,1,134,,1061318,194051,1617,187645,4789,,,,,812,805,11.2.2021
3382,258,350,5,135,,1064700,194309,1520,187995,4794,,,,,829,691,12.2.2021
3607,331,291,2,142,,1068307,194640,1558,188286,4796,,,,,829,729,13.2.2021
3508,354,248,3,145,,1071815,194994,1661,188534,4799,,,,,863,798,14.2.2021
2376,193,169,2,151,,1074191,195187,1683,188703,4801,,,,,902,781,15.2.2021
2620,309,272,1,142,,1076811,195496,1719,188975,4802,,,,,946,835,16.2.2021
4304,428,262,4,145,,1081115,195924,1881,189237,4806,,,,,991,890,17.2.2021
4424,465,184,6,154,,1085539,196389,2156,189421,4812,,,,,1070,1086,18.2.2021
4254,527,280,4,159,,1089793,196916,2399,189701,4816,,,,,1132,1267,19.2.2021
4634,414,247,5,160,,1094427,197330,2561,189948,4821,,,,,1195,1366,20.2.2021
4707,634,294,5,164,,1099134,197964,2896,190242,4826,,,,,1284,1612,21.2.2021
4414,328,318,4,172,,1103548,198292,2902,190560,4830,,,,,1384,1518,22.2.2021
4606,661,358,4,201,,1108154,198953,3201,190918,4834,,,,,1453,1748,23.2.2021
6514,743,2382,3,207,,1114668,199696,3559,191300,4837,,,,,1984,1575,24.2.2021
6556,766,391,4,231,,1121224,200462,3930,191691,4841,,,,,2056,1874,25.2.2021
7108,727,398,6,245,,1128332,201189,4253,192089,4847,,,,,2089,2164,26.2.2021
8041,739,412,6,260,,1136373,201928,4574,192501,4853,,,,,2104,2470,27.2.2021
7473,774,427,2,261,,1143846,202702,4919,192928,4855,,,,,2449,2470,28.2.2021
4815,406,415,4,262,,1148661,203108,4906,193343,4859,,,,,1990,2913,1.3.2021
6124,688,498,5,278,,1154785,203796,5091,193841,4864,,,,,2428,2663,2.3.2021
8013,853,388,5,281,,1162798,204649,5551,194229,4869,,,,,2428,3123,3.3.2021
7585,904,562,7,294,,1170383,205553,5886,194791,4876,,,,,2491,3395,4.3.2021
7267,830,551,5,300,,1177650,206383,6160,195342,4881,,,,,2491,3669,5.3.2021
7609,963,659,4,321,,1185259,207346,6460,196001,4885,,,,,2506,3954,6.3.2021
6743,984,750,5,341,,1192002,208330,6689,196751,4890,,,,,2589,4100,7.3.2021
6534,753,700,7,358,,1198536,209083,6735,196751,4897,,,,,2551,4184,8.3.2021
6090,1086,795,6,321,,1204626,210169,7020,198246,4903,,,,,2608,4412,9.3.2021
7721,1352,646,7,364,,1212347,211521,7719,198892,4910,,,,,3010,4709,10.3.2021
8553,1504,675,7,357,,1220900,213025,8541,199567,4917,,,,,3550,4991,11.3.2021
8602,1805,598,8,341,,1229502,214830,9740,200165,4925,,,,,2922,6818,12.3.2021
9762,1633,638,12,351,,1239264,216463,10723,200803,4937,,,,,4020,6703,13.3.2021
9122,1740,858,15,355,,1248396,218203,11590,201661,4952,,,,,4667,6923,14.3.2021
7266,1082,678,10,370,,1255652,219285,11984,202339,4962,,,,,5112,6872,15.3.2021
8044,1925,677,7,394,,1263696,221210,13225,203016,4969,,,,,3328,9897,16.3.2021
11230,2587,769,11,425,,1274926,223797,15032,203785,4980,,,,,3928,11104,17.3.2021
11835,2752,885,22,440,,1286761,226549,16877,204670,5002,,,,,4789,12088,18.3.2021
12625,2834,499,15,499,,1299386,229383,18888,205478,5017,,,,,3705,15183,19.3.2021
14484,3111,1094,16,538,,1313870,232494,20889,206572,5033,,,,,9679,11210,20.3.2021
12929,2900,1245,20,519,,1326799,235394,22524,207817,5053,,,,,9790,12734,21.3.2021
